ID,Zone_Band,Xcoord,Ycoord
816,10S,551120,4184300
817,10S,552441,4182491
818,10S,550339,4184173
819,10S,552284,4182020
820,10S,550666,4183687
821,10S,553364,4183246
822,10S,552364,4182315
823,10S,552539,4184308
824,10S,550702,4183534
825,10S,551473,4183240
826,10S,552830,4182167
827,10S,550902,4183359
828,10S,552954,4183152
829,10S,552161,4182375
830,10S,552431,4183088
831,10S,552578,4182211
832,10S,553713,4182538
833,10S,552246,4181716
834,10S,552007,4182704
835,10S,551502,4184164
836,10S,551424,4184148
837,10S,552739,4181812
838,10S,552906,4182811
839,10S,553726,4182030
840,10S,552473,4182481
841,10S,552090,4183962
842,10S,550732,4183236
843,10S,552289,4184806
844,10S,553100,4183503
845,10S,552356,4182238
846,10S,553735,4182030
847,10S,552390,4184345
848,10S,552521,4183425
849,10S,551144,4184689
850,10S,553076,4183587
851,10S,552271,4183087
852,10S,551188,4183245
853,10S,550668,4183162
854,10S,552696,4182650
855,10S,552310,4182926
856,10S,551428,4183539
857,10S,553362,4183424
858,10S,552768,4182764
859,10S,552345,4182694
860,10S,552462,4182115
861,10S,553198,4183150
862,10S,551187,4183294
863,10S,552279,4182782
864,10S,553211,4183550
865,10S,552337,4182689
866,10S,552288,4182866
867,10S,551508,4184238
868,10S,552888,4182024
869,10S,552763,4182785
870,10S,550676,4183687
871,10S,552952,4183439
872,10S,552666,4181880
873,10S,552277,4183087
874,10S,552828,4183176
875,10S,549188,4176663
876,10S,552060,4183458
877,10S,547537,4170534
878,10S,551688,4165419
879,10S,546777,4166776
880,10S,547207,4167221
881,10S,553662,4162221
882,10S,546667,4167550
883,10S,546698,4173213
884,10S,549826,4165854
885,10S,547458,4166109
886,10S,545345,4164128
887,10S,552743,4163090
888,10S,545671,4165585
889,10S,546789,4171210
890,10S,551170,4163310
891,10S,550202,4164938
892,10S,548119,4166473
893,10S,545870,4171926
894,10S,550086,4167817
895,10S,550383,4164638
896,10S,552768,4173650
897,10S,546697,4171684
898,10S,545404,4164712
899,10S,554097,4163595
900,10S,554081,4163595
901,10S,554043,4163661
902,10S,552774,4164885
903,10S,550642,4173599
904,10S,550346,4164948
905,10S,554005,4163872
906,10S,549606,4165411
907,10S,551179,4165140
908,10S,554077,4163242
909,10S,552369,4162505
910,10S,545767,4166883
911,10S,553318,4165459
912,10S,552909,4164934
913,10S,551004,4166225
914,10S,553901,4163746
915,10S,553977,4163442
916,10S,553615,4162897
917,10S,554342,4163292
918,10S,554672,4162166
919,10S,554322,4163597
920,10S,553106,4162218
921,10S,546945,4167756
922,10S,550649,4162124
923,10S,545264,4164946
924,10S,548760,4164324
925,10S,547950,4166740
926,10S,552724,4167867
927,10S,549802,4169370
928,10S,546528,4165595
929,10S,552332,4173884
930,10S,549271,4166592
931,10S,545078,4164716
932,10S,552119,4168678
933,10S,545687,4172260
934,10S,547413,4165724
935,10S,547277,4168407
936,10S,550535,4164587
937,10S,548628,4166546
938,10S,553929,4163688
939,10S,546863,4169705
940,10S,554380,4163495
941,10S,549557,4166831
942,10S,546612,4172689
943,10S,553626,4163831
944,10S,552589,4165420
945,10S,553855,4163594
946,10S,553012,4163741
947,10S,550085,4166008
948,10S,546891,4173404
949,10S,553977,4163488
950,10S,547531,4170240
951,10S,551036,4164960
952,10S,554778,4161762
953,10S,549121,4166011
954,10S,552887,4168595
955,10S,552460,4165504
956,10S,552647,4165230
957,10S,554099,4163291
958,10S,554095,4163914
959,10S,551567,4167744
960,10S,547306,4168562
961,10S,549915,4165131
962,10S,550251,4167973
963,10S,554441,4167875
964,10S,544817,4162711
965,10S,544638,4172011
966,10S,550765,4173275
967,10S,545372,4163391
968,10S,546527,4173332
969,10S,547593,4165937
970,10S,546444,4174202
971,10S,546322,4171288
972,10S,545945,4168763
973,10S,553606,4163063
974,10S,546708,4170388
975,10S,553903,4163594
976,10S,553051,4163747
977,10S,546814,4171228
978,10S,546665,4171225
979,10S,544266,4173760
980,10S,545321,4172685
981,10S,552733,4168462
982,10S,545123,4172633
983,10S,544773,4162092
984,10S,552794,4162747
985,10S,545130,4163389
986,10S,553585,4165421
987,10S,551227,4165192
988,10S,553733,4171116
989,10S,553930,4163594
990,10S,545073,4173699
991,10S,553486,4168717
992,10S,553154,4171328
993,10S,550836,4161804
994,10S,550962,4165956
995,10S,552565,4166724
996,10S,552444,4167837
997,10S,553850,4168645
998,10S,547405,4169493
999,10S,552532,4166869
1000,10S,547460,4170714
1001,10S,552620,4171907
1002,10S,552628,4165214
1003,10S,552247,4165287
1004,10S,548072,4166301
1005,10S,554341,4163445
1006,10S,546568,4170559
1007,10S,546781,4171504
1008,10S,554189,4163294
1009,10S,551600,4168065
1010,10S,553551,4166944
1011,10S,545609,4169893
1012,10S,552059,4163800
1013,10S,554698,4164336
1014,10S,552904,4167646
1015,10S,554278,4163292
1016,10S,554712,4162228
1017,10S,546431,4172444
1018,10S,554601,4161753
1019,10S,551018,4164192
1020,10S,550301,4164268
1021,10S,553426,4169190
1022,10S,554221,4163291
1023,10S,547375,4169646
1024,10S,544999,4166299
1025,10S,554578,4163172
1026,10S,549588,4163262
1027,10S,550212,4172237
1028,10S,546707,4171523
1029,10S,552968,4165699
1030,10S,552947,4168558
1031,10S,553461,4165756
1032,10S,554474,4163538
1033,10S,546220,4168238
1034,10S,546921,4165633
1035,10S,546685,4170357
1036,10S,547735,4168540
1037,10S,551806,4167492
1038,10S,550357,4164612
1039,10S,554386,4163504
1040,10S,544713,4172513
1041,10S,554039,4163798
1042,10S,550785,4164092
1043,10S,554406,4163463
1044,10S,551228,4163425
1045,10S,547133,4173341
1046,10S,550829,4162051
1047,10S,554164,4163654
1048,10S,545842,4172992
1049,10S,545944,4165093
1050,10S,552461,4167967
1051,10S,551032,4169252
1052,10S,552581,4166709
1053,10S,549249,4163717
1054,10S,546631,4170406
1055,10S,544839,4165956
1056,10S,553974,4163899
1057,10S,553636,4162863
1058,10S,552433,4165261
1059,10S,552273,4167631
1060,10S,553869,4161737
1061,10S,551756,4162495
1062,10S,554340,4163514
1063,10S,554411,4162601
1064,10S,548698,4167117
1065,10S,547283,4168429
1066,10S,553023,4163722
1067,10S,550568,4164370
1068,10S,552785,4164969
1069,10S,548256,4166338
1070,10S,546306,4165377
1071,10S,550512,4164375
1072,10S,551033,4169214
1073,10S,551053,4165898
1074,10S,553626,4170908
1075,10S,549556,4165425
1076,10S,546216,4173274
1077,10S,554965,4161952
1078,10S,554309,4163597
1079,10S,546971,4170027
1080,10S,551627,4163113
1081,10S,545047,4167106
1082,10S,553782,4161942
1083,10S,548022,4168236
1084,10S,550522,4164439
1085,10S,548526,4166761
1086,10S,545842,4169899
1087,10S,554435,4161635
1088,10S,547348,4169053
1089,10S,552261,4172421
1090,10S,548015,4167519
1091,10S,544891,4162779
1092,10S,549722,4163130
1093,10S,553798,4166082
1094,10S,554337,4163445
1095,10S,551402,4165252
1096,10S,554084,4163291
1097,10S,546217,4172537
1098,10S,555109,4161774
1099,10S,553745,4161920
1100,10S,551856,4167621
1101,10S,554259,4163596
1102,10S,546758,4169798
1103,10S,552774,4164747
1104,10S,553662,4171550
1105,10S,556459,4174802
1106,10S,550943,4180696
1107,10S,549629,4180828
1108,10S,550999,4182204
1109,10S,552418,4179888
1110,10S,552041,4182171
1111,10S,552523,4181988
1112,10S,552087,4181257
1113,10S,551846,4182327
1114,10S,551911,4182323
1115,10S,545471,4178628
1116,10S,544811,4178167
1117,10S,553360,4167758
1118,10S,550221,4180353
1119,10S,551482,4181031
1120,10S,551699,4180736
1121,10S,550745,4182163
1122,10S,551061,4181556
1123,10S,552373,4181727
1124,10S,553172,4183631
1125,10S,551666,4180515
1126,10S,552574,4178750
1127,10S,552824,4183064
1128,10S,552694,4181855
1129,10S,552782,4182136
1130,10S,552572,4175821
1131,10S,552832,4183112
1132,10S,552750,4182938
1133,10S,550166,4180434
1134,10S,551988,4182199
1135,10S,546329,4176400
1136,10S,550887,4183408
1137,10S,546162,4175454
1138,10S,545386,4175605
1139,10S,545383,4175616
1140,10S,544643,4175860
1141,10S,553840,4182482
1142,10S,544991,4179286
1143,10S,543742,4180669
1144,10S,550111,4181855
1145,10S,548906,4175650
1146,10S,546091,4179161
